"gene","logFC","logCPM","F","PValue","FDR"
"PRKCE",-1.86536962999703,5.31509092736489,47.3337771544833,3.04432493188342e-06,7.83876178273627e-05
"LRPAP1",-0.962421440406261,8.78585655882197,48.1706285789217,3.10724973992495e-06,7.96156587773908e-05
"ENPP1",-2.11065635817987,6.31567379305136,44.9171274073483,3.16172952997619e-06,8.06163914789539e-05
"PRDX1",1.05817526618875,7.87294207365608,47.9114908874853,3.22706377027007e-06,8.18828268310759e-05
"TUSC3",-0.846457191569218,9.05093133826506,47.713810511075,3.2931635220673e-06,8.31563561828299e-05
"CDKN1C",2.70555548690474,10.2778432522962,65.7010285292376,3.31554781645906e-06,8.33190790222668e-05
"FCGRT",-1.86272247439478,6.49828971064257,46.2712015949047,3.40109451859492e-06,8.50599093239026e-05
"RNF130",1.35715707023163,7.16754682584297,47.1856083002669,3.47044613163175e-06,8.63810568097104e-05
"GRIA3",-1.37832673532833,6.67329004393263,47.4580894724893,3.50734646644972e-06,8.68857818963634e-05
"ABHD3",1.59483873738193,5.70317715626055,44.3829491390714,3.54410223014413e-06,8.73821809290726e-05
"HSPB1",-1.85074563581961,9.41144068712497,47.0170043352933,3.83102937757177e-06,9.4013101204543e-05
"SLC40A1",-1.87001220652811,6.60636304857527,45.1917117599042,3.87602051269313e-06,9.45321281990714e-05
"USP25",-1.96034617186134,5.36784590159289,43.0397336740183,3.90247160461909e-06,9.45321281990714e-05
"ITGB5",-2.09143274195331,5.47750307543352,43.0221854403156,3.92247261566363e-06,9.45321281990714e-05
"ZFP36L2",1.4045484063646,6.04411139506079,44.2453366722032,3.92452110564348e-06,9.45321281990714e-05
"GNG5",-1.42355731189173,7.4783417431096,45.9111730887515,4.1805369908963e-06,0.000100237003905573
"WARS",1.60244872815846,6.98013528326292,45.4029978473397,4.45473139002701e-06,0.000106323657423156
"TMEM64",1.45266481581411,5.82371501499984,42.8431660844716,4.63297797817898e-06,0.000110075344963371
"MEIS2",1.28937548053448,7.7638073757596,44.7582701753542,4.9090629943236e-06,0.000116107114349907
"OSBPL6",-1.99775100550441,5.03999442845334,41.1663608287529,5.10360095568824e-06,0.000120164514393615
"RASGRF1",1.4766990949256,6.16688536712684,40.0671350887006,5.3645372831667e-06,0.000125741867170907
"SMAD9",1.88180530257858,5.82219603784439,40.2727133301101,5.66774157286084e-06,0.000132255737505998
"MDK",-1.38084624574117,7.53856152035082,43.485068047247,5.84575980639584e-06,0.000135803495591249
"PLIN2",-2.46416882590515,5.89901594608917,40.6852619754225,6.13595631683439e-06,0.000141914352513687
"CD44",-1.8137511700574,7.14510587426578,42.6523995282289,6.34168545062641e-06,0.000146026387006274
"ISOC1",1.46158885120279,5.77064464883036,39.985873105922,6.44551847001961e-06,0.000147766337906985
"MOB1B",-1.11833862477246,8.08405542542923,42.615035853646,6.56539019552201e-06,0.000149857181449753
"IFITM3",-3.72477120753245,4.36881491155852,34.6914160613532,6.72626757176966e-06,0.00015286174172887
"ARL4C",3.05167123313478,5.53843748815071,38.0747812164337,7.22153128375354e-06,0.000163406684070042
"TMEM164",-2.01215706319421,6.43410583814041,41.6533382396266,7.40101884654227e-06,0.000165807680191638
"SEC14L1",-1.58097360791742,6.26086489631913,41.6371837235339,7.41737594530661e-06,0.000165807680191638
"EXOC2",1.4224711936872,6.01322951639427,39.321717223691,7.42280412566353e-06,0.000165807680191638
"EIF4B",0.730889953296386,9.10698922247182,41.6676872134328,7.48112776333464e-06,0.000166399382208298
"SYT7",0.93778098937236,8.42899993055575,41.1290733931628,8.11264619546019e-06,0.000179681362981654
"LDHB",1.9847194562321,6.16228937101955,38.957310558869,8.21276893664345e-06,0.000180611263723519
"HPS1",-1.46967635631641,6.67993791118568,40.216443423602,8.22373842858188e-06,0.000180611263723519
"PSD3",1.3370169633447,5.80291857404481,36.8888560266941,8.73742749768298e-06,0.00019109009845351
"PEBP1",0.693126473581645,10.1236943790616,40.1650349855278,9.29549367502714e-06,0.000202448105997362
"MFSD3",-1.53043473145859,5.1481764860275,39.2927402054425,9.52014766871287e-06,0.00020648054715503
"KLF13",1.68422769767554,5.47304510671811,37.3286821986506,9.60744457432536e-06,0.00020751286276859
"LITAF",3.40690527851888,4.44014055941101,33.9993096133166,9.94649439487942e-06,0.000213951959679155
"MXI1",1.27621480626064,6.24908732820589,39.4334532108321,1.00185273951284e-05,0.000214618207763674
"PPP2R2B",-6.9787156536936,5.66985760490247,45.4265988025031,1.00792089884918e-05,0.000215036838297334
"PERP",0.97572199750331,8.15977831928578,39.4510753752948,1.03680218119169e-05,0.000220299390288169
"LAMB1",-2.42235943454363,5.70768397512705,35.7197864483639,1.04596925492258e-05,0.000221347420869649
"DNPH1",-1.35189993402407,6.36912923025355,38.9412087684573,1.10538232940792e-05,0.000232977154669968
"ENAH",1.63140444236108,6.23103706710326,37.5184516151692,1.14598483532721e-05,0.000240564768443989
"SMARCA1",-1.15924362320356,7.64973643741368,38.6311919492566,1.15907568991289e-05,0.000242339545246988
"SPC25",-2.89622139145287,5.63969727273069,38.0273329716716,1.20868325675828e-05,0.000251704676616556
"NCOA3",1.29452565905631,6.11159185684718,36.8426419044628,1.22709379357695e-05,0.000254524573770901
"CNRIP1",1.45931900849283,5.72821904199569,37.5387974068744,1.29846654251751e-05,0.00026774340684965
"TRAM1",1.14634871312054,7.52452127473024,37.9784723038531,1.30106801874519e-05,0.00026774340684965
"MXRA7",0.749910918144586,9.16685905454947,37.8834392844325,1.3091994410133e-05,0.000268360214830451
"ELAVL4",1.58648409958919,6.5961190050567,37.327142968962,1.34797321178082e-05,0.000274460974813363
