"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.85962487636737e-47,2.62294788486836,0.763,0.135,1.41736278772125e-42,"5","Prim1"
1.27294906023894e-46,0.891416492683753,1,0.963,2.03646390657026e-42,"0","Eif3e"
1.77779830275744e-46,4.47149377624954,0.355,0.017,2.84412172475135e-42,"5","Fam83d"
1.92300461917574e-46,1.91046623418862,1,0.72,3.07642278975736e-42,"5","H2afz"
1.98440686697291e-46,5.2371038071838,0.28,0.006,3.17465410578326e-42,"5","Sapcd2"
2.07551584609792e-46,0.625694336892447,1,1,3.32041025058745e-42,"1","Rps4x"
2.18489956627782e-46,2.1897056022607,0.978,0.516,3.49540232613125e-42,"5","Cks1b"
3.57989232919954e-46,2.02415454675284,1,0.806,5.72711174825343e-42,"4","Sox4"
3.86445296745804e-46,2.62063845470595,0.833,0.241,6.18235185733937e-42,"4","Amotl2"
4.86211049181567e-46,1.18427957585771,1,1,7.77840436480672e-42,"2","Gnas"
4.98958535167027e-46,1.4478143594132,0.969,0.782,7.98233864560209e-42,"2","Immp1l"
5.87802935307497e-46,0.860422561363361,1,0.989,9.40367135904934e-42,"0","Ddx5"
6.65036314430798e-46,1.30256410039387,0.963,0.732,1.06392509582639e-41,"1","Eno1"
7.07854934980216e-46,5.19551708511071,0.258,0.003,1.13242632498135e-41,"5","Oip5"
7.68585652919054e-46,2.68229845401629,0.849,0.21,1.2295833275399e-41,"5","Pcna"
1.24433597095094e-45,0.941237235845861,0.994,0.401,1.99068868632732e-41,"2","Chgb"
2.02992545189747e-45,1.43152168520826,1,0.945,3.24747473794557e-41,"5","Ran"
2.12812628318803e-45,0.567681788071758,1,1,3.4045764278442e-41,"1","Rpl23a"
2.3786245979935e-45,2.30748476843583,0.609,0.141,3.80532363187e-41,"1","Ldhb"
2.943283674744e-45,1.41861124564812,0.994,0.398,4.70866522285546e-41,"2","Pcsk1n"
3.4674364497704e-45,3.6264425433821,0.366,0.019,5.54720483234268e-41,"5","C330027C09Rik"
3.93254873997062e-45,0.606464568665837,1,1,6.291291474205e-41,"1","Rps11"
5.99384092507176e-45,1.86434348015306,0.758,0.233,9.5889467119298e-41,"1","Col18a1"
6.64882408773207e-45,1.86859228104472,0.83,0.436,1.06367887755538e-40,"0","Tox3"
8.85048342828452e-45,1.26203715578904,0.964,0.852,1.41590033885696e-40,"0","Jund"
9.39302013621476e-45,1.74546572330482,0.963,0.405,1.50269536139164e-40,"3","Pcsk1n"
1.08487150514239e-44,2.15218949496467,0.737,0.283,1.7355774339268e-40,"0","Tubb3"
1.36298906486505e-44,5.78463465072294,0.475,0.075,2.1805099059711e-40,"3","Gast"
